,證券代號,證券名稱
485,2427,三商電
486,2428,興勤
487,2429,銘旺科
488,2430,燦坤
489,2431,聯昌
490,2433,互盛電
491,2434,統懋
492,2436,偉詮電
493,2438,翔耀
494,2439,美律
495,2440,太空梭
496,2441,超豐
497,2442,新美齊
498,2443,億麗
499,2444,兆勁
500,2448,晶電
501,2449,京元電子
502,2450,神腦
503,2451,創見
504,2453,凌群
505,2454,聯發科
506,2455,全新
507,2456,奇力新
508,2457,飛宏
509,2458,義隆
510,2459,敦吉
511,2460,建通
512,2461,光群雷
513,2462,良得電
514,2464,盟立
515,2465,麗臺
516,2466,冠西電
517,2467,志聖
518,2468,華經
519,2471,資通
520,2472,立隆電
521,2474,可成
522,2476,鉅祥
523,2477,美隆電
524,2478,大毅
525,2480,敦陽科
526,2481,強茂
527,2482,連宇
528,2483,百容
529,2484,希華
530,2485,兆赫
531,2486,一詮
532,2488,漢平
533,2489,瑞軒
534,2491,吉祥全
535,2492,華新科
536,2493,揚博
537,2495,普安
538,2496,卓越
539,2497,怡利電
540,2498,宏達電
541,2501,國建
542,2504,國產
543,2505,國揚
544,2506,太設
545,2509,全坤建
546,2511,太子
547,2514,龍邦
548,2515,中工
549,2516,新建
550,2520,冠德
551,2524,京城
552,2527,宏璟
553,2528,皇普
554,2530,華建
555,2534,宏盛
556,2535,達欣工
557,2536,宏普
558,2537,聯上發
559,2538,基泰
560,2539,櫻花建
561,2540,愛山林
562,2542,興富發
563,2543,皇昌
564,2545,皇翔
565,2546,根基
566,2547,日勝生
567,2548,華固
568,2597,潤弘
569,2601,益航
570,2603,長榮
571,2605,新興
572,2606,裕民
573,2607,榮運
574,2608,嘉里大榮
575,2609,陽明
576,2610,華航
577,2611,志信
578,2612,中航
579,2613,中櫃
580,2614,東森
581,2615,萬海
582,2616,山隆
583,2617,台航
584,2618,長榮航
585,2630,亞航
586,2633,台灣高鐵
587,2634,漢翔
588,2636,台驊投控
589,2637,慧洋-KY
590,2642,宅配通
591,2701,萬企
592,2702,華園
593,2704,國賓
594,2705,六福
595,2706,第一店
596,2707,晶華
597,2712,遠雄來
598,2722,夏都
599,2723,美食-KY
600,2727,王品
601,2731,雄獅
602,2739,寒舍
603,2748,雲品
604,2801,彰銀
605,2809,京城銀
606,2812,台中銀
607,2816,旺旺保
608,2820,華票
609,2823,中壽
610,2832,台產
611,2834,臺企銀
612,2836,高雄銀
613,2838,聯邦銀
614,2838A,聯邦銀甲特
615,2841,台開
616,2845,遠東銀
617,2849,安泰銀
618,2850,新產
619,2851,中再保
620,2852,第一保
621,2855,統一證
622,2867,三商壽
623,2880,華南金
624,2881,富邦金
625,2881A,富邦特
626,2881B,富邦金乙特
627,2882,國泰金
628,2882A,國泰特
629,2882B,國泰金乙特
630,2883,開發金
631,2884,玉山金
632,2885,元大金
633,2886,兆豐金
634,2887,台新金
635,2887E,台新戊特
636,2887F,台新戊特二
637,2888,新光金
638,2888A,新光金甲特
639,2889,國票金
640,2890,永豐金
641,2891,中信金
642,2891B,中信金乙特
643,2891C,中信金丙特
644,2892,第一金
645,2897,王道銀行
646,2897A,王道銀甲特
647,2901,欣欣
648,2903,遠百
649,2904,匯僑
650,2905,三商
651,2906,高林
652,2908,特力
653,2910,統領
654,2911,麗嬰房
655,2912,統一超
656,2913,農林
657,2915,潤泰全
658,2923,鼎固-KY
659,2929,淘帝-KY
660,2936,客思達-KY
661,2939,凱羿-KY
662,3002,歐格
663,3003,健和興
664,3004,豐達科
665,3005,神基
666,3006,晶豪科
667,3008,大立光
668,3010,華立
669,3011,今皓
670,3013,晟銘電
671,3014,聯陽
672,3015,全漢
673,3016,嘉晶
674,3017,奇鋐
675,3018,同開
676,3019,亞光
677,3021,鴻名
678,3022,威強電
679,3023,信邦
680,3024,憶聲
681,3025,星通
682,3026,禾伸堂
683,3027,盛達
684,3028,增你強
685,3029,零壹
686,3030,德律
687,3031,佰鴻
688,3032,偉訓
689,3033,威健
690,3034,聯詠
691,3035,智原
692,3036,文曄
693,3037,欣興
694,3038,全台
695,3040,遠見
696,3041,揚智
697,3042,晶技
698,3043,科風
699,3044,健鼎
700,3045,台灣大
701,3046,建碁
702,3047,訊舟
703,3048,益登
704,3049,和鑫
705,3050,鈺德
706,3051,力特
707,3052,夆典
708,3054,立萬利
709,3055,蔚華科
710,3056,總太
711,3057,喬鼎
712,3058,立德
713,3059,華晶科
714,3060,銘異
715,3062,建漢
716,3090,日電貿
717,3094,聯傑
718,3130,一零四
719,3149,正達
720,3164,景岳
721,3167,大量
722,3189,景碩
723,3209,全科
724,3229,晟鈦
725,3231,緯創
726,3257,虹冠電
727,3266,昇陽
728,3296,勝德
729,3305,昇貿
730,3308,聯德
731,3311,閎暉
732,3312,弘憶股
733,3321,同泰
734,3338,泰碩
735,3346,麗清
736,3356,奇偶
737,3376,新日興
738,3380,明泰
739,3383,新世紀
740,3406,玉晶光
741,3413,京鼎
742,3416,融程電
743,3419,譁裕
744,3432,台端
745,3437,榮創
746,3443,創意
747,3450,聯鈞
748,3454,晶睿
749,3481,群創
750,3494,誠研
751,3501,維熹
752,3504,揚明光
753,3515,華擎
754,3518,柏騰
755,3528,安馳
756,3530,晶相光
757,3532,台勝科
758,3533,嘉澤
759,3535,晶彩科
